image,mask,frame,phase
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,31,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,32,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,33,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,34,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,35,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,36,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,37,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,38,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,39,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,40,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,41,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,42,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,43,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,44,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,45,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,46,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,47,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,48,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,49,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,50,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,51,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,52,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,53,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,54,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,55,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,56,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,57,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,58,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,59,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,60,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,61,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,62,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,63,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,64,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,65,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,66,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,67,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,68,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,69,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,70,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,71,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,72,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,73,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,74,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,75,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,76,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,77,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,78,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,79,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,80,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,81,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,82,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,83,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,84,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,85,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,0,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,1,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,2,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,3,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,4,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,5,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,6,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,7,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,8,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,9,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,10,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,11,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,12,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,13,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,14,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,15,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,16,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,17,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,18,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,19,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,20,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,21,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,22,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,23,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,24,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,25,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,26,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,27,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,28,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,29,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,30,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,31,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,32,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,33,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,34,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,35,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,36,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,37,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,38,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,39,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,40,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,41,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,42,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,43,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,44,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,45,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,46,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,47,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,48,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,49,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,50,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,51,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,52,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,53,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,54,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,55,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,56,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,57,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,58,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,59,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,60,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,61,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,62,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,63,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,64,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,65,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,66,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,67,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,68,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,69,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,70,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,71,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,72,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,73,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,74,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,75,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,76,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,77,train
.\data\Patient_1\Images\I0000018.tif,.\data\Patient_1\Masks\I0000018.labels.tif,78,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,0,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,1,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,2,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,3,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,4,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,5,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,6,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,7,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,8,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,9,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,10,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,11,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,12,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,13,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,14,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,15,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,16,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,17,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,18,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,19,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,20,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,21,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,22,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,23,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,24,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,25,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,26,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,27,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,28,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,29,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,30,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,31,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,32,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,33,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,34,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,35,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,36,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,37,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,38,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,39,train
.\data\Patient_1\Images\I0000021.tif,.\data\Patient_1\Masks\I0000021.labels.tif,40,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,0,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,1,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,2,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,3,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,4,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,5,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,6,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,7,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,8,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,9,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,10,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,11,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,12,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,13,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,14,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,15,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,16,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,17,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,18,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,19,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,20,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,21,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,22,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,23,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,24,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,25,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,26,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,27,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,28,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,29,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,30,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,31,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,32,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,33,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,34,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,35,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,36,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,37,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,38,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,39,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,40,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,41,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,42,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,43,train
.\data\Patient_10\Images\I0000008.tif,.\data\Patient_10\Masks\I0000008.labels.tif,44,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,0,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,1,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,2,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,3,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,4,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,5,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,6,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,7,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,8,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,9,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,10,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,11,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,12,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,13,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,14,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,15,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,16,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,17,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,18,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,19,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,20,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,21,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,22,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,23,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,24,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,25,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,26,train
.\data\Patient_11\Images\I0000006.tif,.\data\Patient_11\Masks\I0000006.labels.tif,27,train
